Item,Class,Category,Probability
items_19,Class 1,Y=1,0.0065
items_19,Class 1,Y=2,0.1465
items_19,Class 1,Y=3,0.2852
items_19,Class 1,Y=4,0.4794
items_19,Class 1,Y=5,0.0824
items_19,Class 2,Y=1,0.007
items_19,Class 2,Y=2,0.0585
items_19,Class 2,Y=3,0.1279
items_19,Class 2,Y=4,0.441
items_19,Class 2,Y=5,0.3655
items_19,Class 3,Y=1,0.1157
items_19,Class 3,Y=2,0.2317
items_19,Class 3,Y=3,0.0892
items_19,Class 3,Y=4,0.2816
items_19,Class 3,Y=5,0.2818
items_19,Class 4,Y=1,0.0105
items_19,Class 4,Y=2,0.2238
items_19,Class 4,Y=3,0.3906
items_19,Class 4,Y=4,0.3484
items_19,Class 4,Y=5,0.0267
items_19,Class 5,Y=1,0.0131
items_19,Class 5,Y=2,0.1015
items_19,Class 5,Y=3,0.1903
items_19,Class 5,Y=4,0.4904
items_19,Class 5,Y=5,0.2047
items_19,Class 6,Y=1,0.168
items_19,Class 6,Y=2,0.3398
items_19,Class 6,Y=3,0.309
items_19,Class 6,Y=4,0.1754
items_19,Class 6,Y=5,0.0079
items_19,Class 7,Y=1,0.1154
items_19,Class 7,Y=2,0.1231
items_19,Class 7,Y=3,0.1911
items_19,Class 7,Y=4,0.294
items_19,Class 7,Y=5,0.2765
items_2,Class 1,Y=1,0.0
items_2,Class 1,Y=2,0.0138
items_2,Class 1,Y=3,0.0883
items_2,Class 1,Y=4,0.4698
items_2,Class 1,Y=5,0.4281
items_2,Class 2,Y=1,0.0
items_2,Class 2,Y=2,0.0076
items_2,Class 2,Y=3,0.031
items_2,Class 2,Y=4,0.1848
items_2,Class 2,Y=5,0.7766
items_2,Class 3,Y=1,0.0371
items_2,Class 3,Y=2,0.0251
items_2,Class 3,Y=3,0.0613
items_2,Class 3,Y=4,0.1609
items_2,Class 3,Y=5,0.7156
items_2,Class 4,Y=1,0.0
items_2,Class 4,Y=2,0.0306
items_2,Class 4,Y=3,0.1323
items_2,Class 4,Y=4,0.5541
items_2,Class 4,Y=5,0.283
items_2,Class 5,Y=1,0.0065
items_2,Class 5,Y=2,0.0391
items_2,Class 5,Y=3,0.0503
items_2,Class 5,Y=4,0.4038
items_2,Class 5,Y=5,0.5002
items_2,Class 6,Y=1,0.0069
items_2,Class 6,Y=2,0.0154
items_2,Class 6,Y=3,0.0279
items_2,Class 6,Y=4,0.2455
items_2,Class 6,Y=5,0.7042
items_2,Class 7,Y=1,0.0096
items_2,Class 7,Y=2,0.0185
items_2,Class 7,Y=3,0.0
items_2,Class 7,Y=4,0.1043
items_2,Class 7,Y=5,0.8675
items_20,Class 1,Y=1,0.0121
items_20,Class 1,Y=2,0.3164
items_20,Class 1,Y=3,0.2747
items_20,Class 1,Y=4,0.3449
items_20,Class 1,Y=5,0.0519
items_20,Class 2,Y=1,0.0205
items_20,Class 2,Y=2,0.1404
items_20,Class 2,Y=3,0.1612
items_20,Class 2,Y=4,0.3956
items_20,Class 2,Y=5,0.2823
items_20,Class 3,Y=1,0.2015
items_20,Class 3,Y=2,0.2551
items_20,Class 3,Y=3,0.1024
items_20,Class 3,Y=4,0.1304
items_20,Class 3,Y=5,0.3106
items_20,Class 4,Y=1,0.0
items_20,Class 4,Y=2,0.4454
items_20,Class 4,Y=3,0.2747
items_20,Class 4,Y=4,0.2608
items_20,Class 4,Y=5,0.0191
items_20,Class 5,Y=1,0.0067
items_20,Class 5,Y=2,0.1304
items_20,Class 5,Y=3,0.1628
items_20,Class 5,Y=4,0.5128
items_20,Class 5,Y=5,0.1872
items_20,Class 6,Y=1,0.353
items_20,Class 6,Y=2,0.4645
items_20,Class 6,Y=3,0.1245
items_20,Class 6,Y=4,0.0511
items_20,Class 6,Y=5,0.0069
items_20,Class 7,Y=1,0.2337
items_20,Class 7,Y=2,0.2591
items_20,Class 7,Y=3,0.1074
items_20,Class 7,Y=4,0.1619
items_20,Class 7,Y=5,0.2379
items_21,Class 1,Y=1,0.0
items_21,Class 1,Y=2,0.1262
items_21,Class 1,Y=3,0.2303
items_21,Class 1,Y=4,0.5237
items_21,Class 1,Y=5,0.1198
items_21,Class 2,Y=1,0.0
items_21,Class 2,Y=2,0.018
items_21,Class 2,Y=3,0.0324
