Item,Class,Category,Probability
items_28,Class 1,Y=1,0.0187
items_28,Class 1,Y=2,0.1054
items_28,Class 1,Y=3,0.2531
items_28,Class 1,Y=4,0.4201
items_28,Class 1,Y=5,0.2028
items_28,Class 2,Y=1,0.0129
items_28,Class 2,Y=2,0.1963
items_28,Class 2,Y=3,0.2141
items_28,Class 2,Y=4,0.2874
items_28,Class 2,Y=5,0.2892
items_28,Class 3,Y=1,0.1701
items_28,Class 3,Y=2,0.1785
items_28,Class 3,Y=3,0.1098
items_28,Class 3,Y=4,0.2655
items_28,Class 3,Y=5,0.2761
items_28,Class 4,Y=1,0.0212
items_28,Class 4,Y=2,0.3104
items_28,Class 4,Y=3,0.266
items_28,Class 4,Y=4,0.3741
items_28,Class 4,Y=5,0.0282
items_28,Class 5,Y=1,0.0791
items_28,Class 5,Y=2,0.1719
items_28,Class 5,Y=3,0.2476
items_28,Class 5,Y=4,0.305
items_28,Class 5,Y=5,0.1963
items_28,Class 6,Y=1,0.0522
items_28,Class 6,Y=2,0.1492
items_28,Class 6,Y=3,0.2588
items_28,Class 6,Y=4,0.3076
items_28,Class 6,Y=5,0.2322
items_28,Class 7,Y=1,0.0186
items_28,Class 7,Y=2,0.0298
items_28,Class 7,Y=3,0.0543
items_28,Class 7,Y=4,0.3858
items_28,Class 7,Y=5,0.5114
items_3,Class 1,Y=1,0.0
items_3,Class 1,Y=2,0.0388
items_3,Class 1,Y=3,0.0929
items_3,Class 1,Y=4,0.5709
items_3,Class 1,Y=5,0.2974
items_3,Class 2,Y=1,0.0064
items_3,Class 2,Y=2,0.0131
items_3,Class 2,Y=3,0.0418
items_3,Class 2,Y=4,0.1789
items_3,Class 2,Y=5,0.7597
items_3,Class 3,Y=1,0.0483
items_3,Class 3,Y=2,0.0841
items_3,Class 3,Y=3,0.0382
items_3,Class 3,Y=4,0.2896
items_3,Class 3,Y=5,0.5399
items_3,Class 4,Y=1,0.0108
items_3,Class 4,Y=2,0.0208
items_3,Class 4,Y=3,0.1
items_3,Class 4,Y=4,0.7657
items_3,Class 4,Y=5,0.1027
items_3,Class 5,Y=1,0.0066
items_3,Class 5,Y=2,0.0263
items_3,Class 5,Y=3,0.1332
items_3,Class 5,Y=4,0.474
items_3,Class 5,Y=5,0.3599
items_3,Class 6,Y=1,0.0
items_3,Class 6,Y=2,0.0077
items_3,Class 6,Y=3,0.0626
items_3,Class 6,Y=4,0.3803
items_3,Class 6,Y=5,0.5494
items_3,Class 7,Y=1,0.0
items_3,Class 7,Y=2,0.0
items_3,Class 7,Y=3,0.0
items_3,Class 7,Y=4,0.2109
items_3,Class 7,Y=5,0.7891
items_4,Class 1,Y=1,0.0
items_4,Class 1,Y=2,0.0355
items_4,Class 1,Y=3,0.2674
items_4,Class 1,Y=4,0.5589
items_4,Class 1,Y=5,0.1382
items_4,Class 2,Y=1,0.0
items_4,Class 2,Y=2,0.0873
items_4,Class 2,Y=3,0.1135
items_4,Class 2,Y=4,0.4839
items_4,Class 2,Y=5,0.3153
items_4,Class 3,Y=1,0.1083
items_4,Class 3,Y=2,0.1095
items_4,Class 3,Y=3,0.0679
items_4,Class 3,Y=4,0.4751
items_4,Class 3,Y=5,0.2392
items_4,Class 4,Y=1,0.0
items_4,Class 4,Y=2,0.1099
items_4,Class 4,Y=3,0.2299
items_4,Class 4,Y=4,0.5961
items_4,Class 4,Y=5,0.0641
items_4,Class 5,Y=1,0.0065
items_4,Class 5,Y=2,0.133
items_4,Class 5,Y=3,0.2411
items_4,Class 5,Y=4,0.5132
items_4,Class 5,Y=5,0.1063
items_4,Class 6,Y=1,0.0204
items_4,Class 6,Y=2,0.0389
items_4,Class 6,Y=3,0.101
